Menu Type,Menu Depth,Menu Breadth,Target Item,Trial 
Radial,1,2,Animals,1
Radial,1,2,Food,2
Radial,1,2,Animals,3
Radial,1,4,Food,2
Radial,1,4,Clothing,3
Radial,1,4,Animals,1
Radial,2,2,Mammals,1
Radial,2,2,Fruit,3
Radial,2,2,Reptiles,2
Radial,2,4,Vegetables,2
Radial,2,4,Bottoms,3
Radial,2,4,Reptiles,1
Radial,3,2,Dogs,1
Radial,3,2,Pineapple,3
Radial,3,2,Snake,2
Radial,3,4,Skirt,2
Radial,3,4,Potatoes,1
Radial,3,4,Japan,3
Marking,1,2,Animals,1
Marking,1,2,Food,2
Marking,1,2,Animals,3
Marking,1,4,Clothing,3
Marking,1,4,Animals,1
Marking,1,4,Food,2
Marking,2,2,Reptiles,2
Marking,2,2,Fruit,3
Marking,2,2,Mammals,1
Marking,2,4,Reptiles,1
Marking,2,4,Bottoms,3
Marking,2,4,Vegetables,2
Marking,3,2,Snake,2
Marking,3,2,Dogs,1
Marking,3,2,Pineapple,3
Marking,3,4,Japan,3
Marking,3,4,Skirt,2
Marking,3,4,Potatoes,1
